ID,Director_id,DVDList_id
115,0000008,103507
116,0000008,105744
117,0000008,111280
118,0000008,113007
119,0000008,114919
120,0000008,118483
121,0000008,125422
122,0000008,129385
123,0000008,130307
124,0000008,135771
125,0000008,136973
126,0000008,136970
127,0000008,137764
128,0000008,137770
129,0000008,140728
130,0000008,143936
131,0000008,148431
132,0000008,153031
133,0000008,154975
134,0000008,157679
135,0000008,157691
136,0000008,158115
137,0000008,160132
138,0000008,163158
139,0000008,164325
140,0000008,167129
141,0000008,167162
142,0000008,168269
143,0000008,169758
144,0000008,170723
145,0000008,170808
146,0000008,172674
147,0000008,176187
148,0000008,178904
149,0000008,179159
150,0000008,179576
151,0000008,179813
152,0000008,182572
153,0000008,184598
154,0000008,184587
155,0000008,189009
156,0000008,195058
157,0000008,200271
158,0000008,206915
159,0000008,214746
160,0000008,220396
161,0000008,225075
162,0000008,228360
163,0000008,235089
164,0000008,235905
165,0000008,235906
166,0000008,235909
167,0000008,235919
168,0000008,235928
169,0000008,238053
170,0000008,141323
171,0000008,162223
172,0000008,214452
173,0000008,214477
174,0000008,214471
175,0000008,235098
176,0000008,235110
177,0000009,36772
178,0000009,39154
179,0000009,39516
180,0000009,39532
181,0000009,49045
182,0000009,49046
183,0000009,51324
184,0000009,51325
185,0000009,53816
186,0000010,39601
187,0000011,21664
188,0000011,134619
189,0000011,104144
190,0000012,18592
191,0000013,28389
192,0000013,37385
193,0000013,39765
194,0000013,40888
195,0000013,40981
196,0000013,41018
197,0000013,41696
198,0000013,43324
199,0000013,50090
200,0000013,50643
201,0000013,52088
202,0000013,52414
203,0000013,54668
204,0000013,58534
205,0000013,58617
206,0000013,58764
207,0000013,87661
208,0000013,110881
209,0000013,110890
210,0000013,110895
211,0000013,124530
212,0000013,127787
213,0000013,155126
214,0000013,194672
215,0000013,44134
216,0000013,65283
217,0000013,65286
218,0000013,68746
219,0000013,80598
220,0000013,80656
221,0000013,82054
222,0000013,82081
223,0000013,82201
224,0000013,85377
225,0000013,85393
226,0000013,93729
227,0000013,94024
228,0000013,94056
229,0000013,130341
230,0000013,18676
231,0000013,38917
232,0000013,50290
233,0000013,58691
234,0000013,58695
235,0000013,58771
236,0000013,68681
237,0000013,82117
238,0000013,85364
239,0000013,93681
240,0000013,148302
241,0000013,169826
242,0000013,195134
243,0000013,55731
244,0000013,230036
245,0000013,83584
246,0000013,98909
247,0000013,114722
248,0000013,158741
249,0000013,206660
250,0000013,237404
251,0000014,8069
252,0000014,56929
253,0000014,70880
254,0000014,77295
255,0000014,103044
256,0000014,104697
257,0000014,110476
258,0000014,123129
